dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
8gaussians,0,diffusion-vp,euler,16,16,0.1122906357049942,0.11027862499759067
8gaussians,0,diffusion-vp,euler,32,32,0.11132875084877014,0.2257808330032276
8gaussians,0,diffusion-vp,euler,64,64,0.11267691850662231,0.44054091699945275
8gaussians,0,diffusion-vp,euler,128,128,0.11374747008085251,0.8866337920044316
8gaussians,0,diffusion-vp,heun,1,2,1.6968424320220947,0.014349332996062003
8gaussians,0,diffusion-vp,heun,2,4,0.3072876036167145,0.026837375000468455
8gaussians,0,diffusion-vp,heun,4,8,0.14152295887470245,0.052913833991624415
8gaussians,0,diffusion-vp,heun,8,16,0.11506646126508713,0.1098645000020042
8gaussians,0,diffusion-vp,heun,16,32,0.11333563178777695,0.2280729160120245
8gaussians,0,diffusion-vp,heun,32,64,0.11292802542448044,0.44084558299800847
8gaussians,0,diffusion-vp,heun,64,128,0.1137700229883194,0.8902540419949219
8gaussians,0,diffusion-vp,rk4,1,4,0.1794421225786209,0.02762175000680145
8gaussians,0,diffusion-vp,rk4,2,8,0.12307441234588623,0.055638666002778336
8gaussians,0,diffusion-vp,rk4,4,16,0.11739765852689743,0.11387933300284203
8gaussians,0,diffusion-vp,rk4,8,32,0.11429443955421448,0.22958958300296217
8gaussians,0,diffusion-vp,rk4,16,64,0.11288343369960785,0.4400931669952115
8gaussians,0,diffusion-vp,rk4,32,128,0.11405307054519653,0.8880872090085177
8gaussians,1,1-rectified,euler,1,1,2.7433359622955322,0.008658582999487408
8gaussians,1,1-rectified,euler,2,2,0.661548912525177,0.01615416700951755
8gaussians,1,1-rectified,euler,4,4,0.26406800746917725,0.031033332998049445
8gaussians,1,1-rectified,euler,8,8,0.19639751315116882,0.06194754199532326
8gaussians,1,1-rectified,euler,16,16,0.18517738580703735,0.1280603329942096
8gaussians,1,1-rectified,euler,32,32,0.18422171473503113,0.2305577499937499
8gaussians,1,1-rectified,euler,64,64,0.18422403931617737,0.4394796669948846
8gaussians,1,1-rectified,euler,128,128,0.18560580909252167,0.8838695830054348
8gaussians,1,1-rectified,heun,1,2,2.2527458667755127,0.014639666987932287
8gaussians,1,1-rectified,heun,2,4,0.22495733201503754,0.026587583008222282
8gaussians,1,1-rectified,heun,4,8,0.17016705870628357,0.0555019579915097
8gaussians,1,1-rectified,heun,8,16,0.17898692190647125,0.11118916599662043
8gaussians,1,1-rectified,heun,16,32,0.18710222840309143,0.21890895799151622
8gaussians,1,1-rectified,heun,32,64,0.1877986639738083,0.4342770830116933
8gaussians,1,1-rectified,heun,64,128,0.18659991025924683,0.8793845839973073
8gaussians,1,1-rectified,rk4,1,4,0.29659098386764526,0.02719883300596848
8gaussians,1,1-rectified,rk4,2,8,0.18246126174926758,0.053943959006574005
8gaussians,1,1-rectified,rk4,4,16,0.1819588989019394,0.10713175000273623
8gaussians,1,1-rectified,rk4,8,32,0.18999210000038147,0.239244416996371
8gaussians,1,1-rectified,rk4,16,64,0.18808886408805847,0.47090737499820534
8gaussians,1,1-rectified,rk4,32,128,0.186212956905365,0.8618594169965945
8gaussians,1,2-rectified,euler,1,1,0.17292219400405884,0.0067089170042891055
8gaussians,1,2-rectified,euler,2,2,0.17240431904792786,0.013673291003215127
8gaussians,1,2-rectified,euler,4,4,0.17252136766910553,0.026865457999520004
8gaussians,1,2-rectified,euler,8,8,0.17378894984722137,0.05366475001210347
8gaussians,1,2-rectified,euler,16,16,0.17598366737365723,0.18243650000658818
8gaussians,1,2-rectified,euler,32,32,0.17791235446929932,0.21733745800156612
