dataset,seed,model,step,loss
8gaussians,2,diffusion-vp,1000,5.9338274002075195
8gaussians,2,diffusion-vp,1500,6.814038276672363
8gaussians,2,diffusion-vp,2000,5.960393905639648
8gaussians,2,diffusion-vp,2500,6.46348762512207
8gaussians,2,diffusion-vp,3000,5.516440391540527
8gaussians,2,diffusion-vp,3500,5.908144474029541
8gaussians,2,diffusion-vp,4000,6.273819923400879
8gaussians,2,diffusion-vp,4500,6.132662296295166
8gaussians,2,diffusion-vp,5000,5.822539329528809
8gaussians,2,diffusion-vp,5500,6.111018180847168
8gaussians,2,diffusion-vp,5999,5.1836748123168945
moons,0,1-rectified,0,5.113920211791992
moons,0,1-rectified,500,3.00290584564209
moons,0,1-rectified,1000,2.7737250328063965
moons,0,1-rectified,1500,2.729671001434326
moons,0,1-rectified,2000,2.632352113723755
moons,0,1-rectified,2500,2.8067548274993896
moons,0,1-rectified,3000,2.7414517402648926
moons,0,1-rectified,3500,2.5614919662475586
moons,0,1-rectified,4000,2.625788688659668
moons,0,1-rectified,4500,2.6697278022766113
moons,0,1-rectified,5000,2.4315028190612793
moons,0,1-rectified,5500,2.6943564414978027
moons,0,1-rectified,5999,2.5457923412323
moons,0,2-rectified,0,1.726935625076294
moons,0,2-rectified,500,0.004301975481212139
moons,0,2-rectified,1000,0.0008858958026394248
moons,0,2-rectified,1500,0.0006591498968191445
moons,0,2-rectified,2000,0.00025254784850403666
moons,0,2-rectified,2500,0.0006125387153588235
moons,0,2-rectified,3000,0.00015067668573465198
moons,0,2-rectified,3500,0.00013230722106527537
moons,0,2-rectified,4000,0.00011285014625173062
moons,0,2-rectified,4500,6.458010466303676e-05
moons,0,2-rectified,5000,4.7200173867167905e-05
moons,0,2-rectified,5500,5.6878856412367895e-05
moons,0,2-rectified,5999,9.19329104362987e-05
moons,0,diffusion-vp,0,6.317237854003906
moons,0,diffusion-vp,500,4.5845417976379395
moons,0,diffusion-vp,1000,4.260228157043457
moons,0,diffusion-vp,1500,4.30100679397583
moons,0,diffusion-vp,2000,4.169960021972656
moons,0,diffusion-vp,2500,4.304211616516113
moons,0,diffusion-vp,3000,4.303466320037842
moons,0,diffusion-vp,3500,4.216279029846191
moons,0,diffusion-vp,4000,4.108676910400391
moons,0,diffusion-vp,4500,4.187769412994385
moons,0,diffusion-vp,5000,3.856788158416748
moons,0,diffusion-vp,5500,4.311266899108887
moons,0,diffusion-vp,5999,3.955430030822754
moons,1,1-rectified,0,4.914372444152832
moons,1,1-rectified,500,2.748704433441162
moons,1,1-rectified,1000,2.8105154037475586
moons,1,1-rectified,1500,2.73911714553833
moons,1,1-rectified,2000,3.0857062339782715
moons,1,1-rectified,2500,2.7770183086395264
moons,1,1-rectified,3000,2.912898540496826
moons,1,1-rectified,3500,2.561886787414551
moons,1,1-rectified,4000,2.8232288360595703
moons,1,1-rectified,4500,2.5323410034179688
moons,1,1-rectified,5000,2.8271982669830322
moons,1,1-rectified,5500,2.7383217811584473
moons,1,1-rectified,5999,2.7403292655944824
moons,1,2-rectified,0,1.754187822341919
moons,1,2-rectified,500,0.0042648836970329285
moons,1,2-rectified,1000,0.0007225792505778372
moons,1,2-rectified,1500,0.00031199149088934064
moons,1,2-rectified,2000,0.0004120846570003778
moons,1,2-rectified,2500,0.0003291051252745092
moons,1,2-rectified,3000,0.00021334314078558236
moons,1,2-rectified,3500,0.00012772488116752356
moons,1,2-rectified,4000,0.00013573392061516643
moons,1,2-rectified,4500,4.880921187577769e-05
moons,1,2-rectified,5000,5.08189077663701e-05
moons,1,2-rectified,5500,6.028309144312516e-05
moons,1,2-rectified,5999,4.2331306758569553e-05
moons,1,diffusion-vp,0,6.2760772705078125
moons,1,diffusion-vp,500,4.482603549957275
moons,1,diffusion-vp,1000,4.48569393157959
moons,1,diffusion-vp,1500,4.22335147857666
moons,1,diffusion-vp,2000,4.82759428024292
moons,1,diffusion-vp,2500,4.3056254386901855
moons,1,diffusion-vp,3000,4.611647605895996
moons,1,diffusion-vp,3500,3.9429054260253906
moons,1,diffusion-vp,4000,4.4460062980651855
moons,1,diffusion-vp,4500,3.984636068344116
moons,1,diffusion-vp,5000,4.382130146026611
moons,1,diffusion-vp,5500,4.315223217010498
moons,1,diffusion-vp,5999,4.17111349105835
moons,2,1-rectified,0,5.323113441467285
moons,2,1-rectified,500,2.9145424365997314
moons,2,1-rectified,1000,2.8927431106567383
moons,2,1-rectified,1500,2.970345973968506
moons,2,1-rectified,2000,2.523465394973755
moons,2,1-rectified,2500,2.872714042663574
moons,2,1-rectified,3000,2.7530605792999268
moons,2,1-rectified,3500,2.4893712997436523
moons,2,1-rectified,4000,2.7035744190216064
moons,2,1-rectified,4500,2.827469825744629
moons,2,1-rectified,5000,2.88187837600708
moons,2,1-rectified,5500,2.7645344734191895
moons,2,1-rectified,5999,2.6631574630737305
moons,2,2-rectified,0,1.665852665901184
moons,2,2-rectified,500,0.0040212334133684635
moons,2,2-rectified,1000,0.0011061043478548527
moons,2,2-rectified,1500,0.0006188072729855776
moons,2,2-rectified,2000,0.0003143609210383147
moons,2,2-rectified,2500,0.0001709052739897743
moons,2,2-rectified,3000,0.00014681470929645002
moons,2,2-rectified,3500,0.0007529598078690469
moons,2,2-rectified,4000,8.229235390899703e-05
moons,2,2-rectified,4500,7.684478623559698e-05
moons,2,2-rectified,5000,9.287871944252402e-05
moons,2,2-rectified,5500,7.011368143139407e-05
moons,2,2-rectified,5999,4.3384199670981616e-05
moons,2,diffusion-vp,0,6.835020065307617
moons,2,diffusion-vp,500,4.514946937561035
moons,2,diffusion-vp,1000,4.465949535369873
moons,2,diffusion-vp,1500,4.619027614593506
moons,2,diffusion-vp,2000,3.9387736320495605
moons,2,diffusion-vp,2500,4.514418125152588
moons,2,diffusion-vp,3000,4.294316291809082
moons,2,diffusion-vp,3500,4.056158065795898
moons,2,diffusion-vp,4000,4.3007893562316895
moons,2,diffusion-vp,4500,4.384890556335449
moons,2,diffusion-vp,5000,4.429896354675293
moons,2,diffusion-vp,5500,4.382162570953369
moons,2,diffusion-vp,5999,4.165107727050781
